Name,latitude,longitude
Tim Hortons - CEU,14.599783433333334,120.9915111
Botejyu - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590277033997365,120.9837597589119
D'Cream Coffee & Tea - Gastambide,14.602537159456176,120.990464275
Cafe Mezzanine - Binondo,14.60042657,120.9755354
19 Degrees - Cloud Kitchen Binondo [Available for LONG-DISTANCE DELIVERY],14.604297,120.97658
Tokyo Tokyo - Xentro Mall Legarda,14.6014757,120.9926647
Gong Cha - SM Manila [Available for LONG-DISTANCE DELIVERY],14.59035095,120.9837783
President Grand Palace Resturant - Binondo [Available for LONG-DISTANCE DELIVERY],14.601248,120.976369
Chica's Bagnet Express - Ongpin Street [Available for LONG-DISTANCE DELIVERY,14.600722,120.975587
Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
Cafe France - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.6005704,120.9756178
Cafe Perene - Benavidez Street [Available for LONG-DISTANCE DELIVERY],14.6070714,120.9783826
Nessa's Kitchen - Santa Cruz Manila [Available for LONG-DISTANCE DELIVERY],14.606448,120.981967
Lord Stow's Bakery - Ongpin [Available for LONG-DISTANCE DELIVERY],14.601146882181197,120.97581781349015
Bon Appetea - Escolta,14.5970308,120.9776465
One Zo Tapioca - Recto [Available for LONG-DISTANCE DELIVERY],14.600777,120.990337
Quickly - Shoppers Mart [Available for LONG-DISTANCE DELIVERY],14.6005857,120.97566
Shark's Bistro - Padre Noval Street,14.60798178220011,120.98816501376453
Balai Pandesal - JT Centrale,14.606922,120.983885
Lola Nena's - Legarda [Available for LONG-DISTANCE DELIVERY],14.600584697631476,120.9915296604429
Inasal Chicken Bacolod - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590013033333333,120.983518275
Macao Imperial Tea - Mendiola [Available for LONG-DISTANCE DELIVERY],14.60122955,120.9897688
Lugaw King - SM Manila,14.590264784246996,120.98221470308297
Potato Corner - Isetann Recto,14.6029028,120.9847929
Scorched Smokehouse - SM Manila,14.590313186639095,120.98286663743546
Tealive - SM San Lazaro [Available for LONG-DISTANCE DELIVERY],14.590324,120.982393
Sweet Tooth - Legarda,14.6010389,120.9918489
Brownies Unlimited - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5903330365002,120.98241920582355
Fudo-San - SM Manila,14.590091,120.982849
Go Bento - Legarda [Available for LONG-DISTANCE DELIVERY],14.599924,120.990554
Hong Kong Noodles & Dimsum House - Quiapo [Available for LONG-DISTANCE DELIVERY],14.59921805,120.9841343
Chachago - Legarda [Available for LONG-DISTANCE DELIVERY],14.5993607,120.99041435000001
Street Kings - UST,14.60722312,120.9880035
Fruitas - SM Manila,14.5900289,120.9832173125
Baa Baa Thai Tea - SM Manila [Available for LONG-DISTANCE DELIVERY],14.59033304,120.9831812
Awi’s Cafe & Restaurant - Yuchengco Street,14.59946708,120.9762634
Sharetea - Ongpin,14.600090703165407,120.97508170221225
Don Benito's - Quiapo,14.597695,120.9839091
Fruitas & De Original Jamaican Pattie - Pacific Centre,14.59853427,120.9757058
Cow-Wow Sausage Haus - 937 P. Noval,14.6071511,120.98898912
Mang Binatog - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312772735551,120.98310412830574
BreadTalk - SM Manila,14.5901009,120.98298102
Sisig Hooray - SM Manila,14.590039114285714,120.9833208
De Original Jamaican Pattie Shop - SM Manila,14.59004491,120.98324132
Gu-Gu Food - Issetan Recto,14.60319723,120.9847129
Shawarma Shack - Isetann Recto,14.602945795236323,120.9840936441795
The Thai Plate - Fugoso Street [Available for LONG-DISTANCE DELIVERY],14.60788036,120.9819664
Corner Pizza - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590311550202747,120.98234887288855
Yo! Madi Yogurt Shake - Binondo Manila [Available for LONG-DISTANCE DELIVERY],14.600276,120.975791
The Sushi Box - SM Manila,14.59032325,120.9825015
Juice Cubi - UE Recto,14.6006798,120.9904701
Tio Paengs - Loyola [Available for LONG-DISTANCE DELIVERY],14.6058478,120.9909107
Minute Burger - Quiapo [Available for LONG-DISTANCE DELIVERY],14.60060412,120.9850158
Lechon Factory - Isetann Recto [Available for LONG-DISTANCE DELIVERY],14.6027583,120.9845596
AJ Takoyaki Express - Sampaloc,14.601453603170697,120.99095362875124
Happy Ice Scramble - Yuchengco Binondo,14.60028483,120.9757536
Boba Milk Tea By Kowloon House - Legarda [Available for LONG-DISTANCE DELIVERY],14.5978789,120.98967024
Karate Kid - Centro Escolar University [Available for LONG-DISTANCE DELIVERY],14.59879715,120.9925765
Soy & Bean - Pacific Centre Binondo,14.5984653,120.9756467
Five Spice Express - Ramada by Wyndham Manila Central [Available for LONG-DISTANCE DELIVERY],14.6000414,120.9750077
Bo's Coffee Daily - SM Manila [Available for LONG-DISTANCE DELIVERY],14.59026919,120.9837415
Cafe Aquatica - Binondo [Available for LONG-DISTANCE DELIVERY],14.6003466,120.9745674
Tolit's Peri Peri - Morayta,14.60082754,120.9903528
G&G Fried Chicken - Palanca,14.5981983,120.9819969
Mister Donut - Lacson Underpass,14.5981151,120.9841068
Soy & Bean and Balai Pandesal - New Piac Bee,14.60167757,120.97780805714287
